date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,22,19.5,33.6,6.8,,,12.9,,1010.1,
2023-01-02 00:00:00,22.7,16.6,29.3,0,,,16.5,,1007.7,
2023-01-03 00:00:00,25.4,19.2,32.3,0,,,18.4,,1008,
2023-01-04 00:00:00,23.2,12.4,32.7,0,,,11.4,,1013.4,
2023-01-05 00:00:00,26.4,19.3,33.1,0,,,14.4,,1015.1,
2023-01-06 00:00:00,28.2,23.1,34.4,0,,,19.9,,1016.8,
2023-01-07 00:00:00,27.6,22.4,34.8,0,,,22.6,,1019.3,
2023-01-08 00:00:00,26.9,22.3,34,0,,,18.7,,1018.3,
2023-01-09 00:00:00,26.4,20.4,33.1,0,,,19.5,,1014.2,
2023-01-10 00:00:00,27.2,21.9,34.6,0,,,16.5,,1010.8,
2023-01-11 00:00:00,23.6,20,35.1,0,,,9.7,,1010.2,
2023-01-12 00:00:00,22.7,16.8,30,0,,,9.4,,1009.8,
2023-01-13 00:00:00,24,17.1,30.3,0,,,12.2,,1009.7,
2023-01-14 00:00:00,25.7,14.3,33.3,0,,,9.6,,1009.5,
2023-01-15 00:00:00,27.6,15.5,34.7,0,,,10.7,,1012.4,
2023-01-16 00:00:00,30.2,24.8,36.7,0,,,14.7,,1012.3,
2023-01-17 00:00:00,30.4,25.8,37.7,0,,,21.6,,1014.6,
2023-01-18 00:00:00,26.6,22.4,37.5,0,,,23.3,,1017.8,
2023-01-19 00:00:00,28.1,23.5,33.8,0,,,19,,1015.1,
2023-01-20 00:00:00,26.6,20.7,34.6,0,,,19.1,,1008.6,
2023-01-21 00:00:00,24.7,20.7,32.9,14,,,10.8,,1004.3,
2023-01-22 00:00:00,26.5,19.3,34.5,0.2,,,9.9,,1006.3,
2023-01-23 00:00:00,25.8,18,35.4,0,,,8.8,,1010.2,
2023-01-24 00:00:00,28.1,22.3,33.5,2.2,,,13.3,,1007.8,
2023-01-25 00:00:00,26.2,18.3,34.6,0.2,,,11.8,,1009.5,
2023-01-26 00:00:00,27.7,21.6,34.8,0,,,16.8,,1008.1,
2023-01-27 00:00:00,24.5,19.3,32.6,15,,,12.8,,1009.9,
2023-01-28 00:00:00,25.3,19.3,32.7,0,,,10.8,,1014,
2023-01-29 00:00:00,25.7,19.8,33.1,0,,,14.6,,1015.8,
2023-01-30 00:00:00,23.9,16.3,32.7,0,,,11.6,,1011,
2023-01-31 00:00:00,25.8,19.3,33.1,0.1,,,11.7,,1010.2,
2023-02-01 00:00:00,24.8,19.3,33.1,0,,,13.8,,1013.4,
2023-02-02 00:00:00,23.9,20.4,29.4,0,,,13.1,,1014.3,
2023-02-03 00:00:00,23.4,19.3,30.1,0.7,,,15,,1015.6,
2023-02-04 00:00:00,21.9,14.1,30.7,0.5,,,11.1,,1016.4,
2023-02-05 00:00:00,24.7,15.3,32.1,0,,,8.8,,1012.2,
2023-02-06 00:00:00,28.1,20.1,34.2,0,,,12,,1010.2,
2023-02-07 00:00:00,29.3,23.7,36.2,0,,,15,,1010.2,
2023-02-08 00:00:00,27.4,23.4,36.6,0.1,,,11.6,,1009,
2023-02-09 00:00:00,27.8,19.4,36.4,0,,,7.9,,1010.3,
2023-02-10 00:00:00,31,23.5,37.6,0,,,10.8,,1009.9,
2023-02-11 00:00:00,32,24.2,38,0,,,12.3,,1008.8,
2023-02-12 00:00:00,34.1,29.7,38.9,0,,,18.2,,1004.5,
2023-02-13 00:00:00,28.3,21.6,39.6,0,,,12.2,,1003.7,
2023-02-14 00:00:00,26.3,19.9,33.1,0,,,9.3,,1005.9,
2023-02-15 00:00:00,24.1,15.4,33.6,0,,,11,,1006.7,
2023-02-16 00:00:00,21.3,10.7,33.2,4.3,,,13.4,,1002.6,
2023-02-17 00:00:00,10.6,6.7,15.7,0.3,,,16.9,,1012.2,
2023-02-18 00:00:00,14.5,5.5,22.3,0,,,12.2,,1020,
